authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Other,Front Collision,N,Total Loss,Single Vehicle Collision,MD,priv-house-serv,other-relative,MALE,unknown,500/1000,YES,Low Risk,0,47,2,0,0,1111.05,3.999590206,1,0.205983301,4,9760,338,1,7123,1143.46,500,1,9760,1,0,58560,4000000,39040,1
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,MD,priv-house-serv,wife,MALE,NO,500/1000,NO,Medium Risk,1,34,1,0,0,15911.05,7.998811469,1,0.474518870,11,6730,121,1,8745,1285.42,500,1,6730,1,0,67300,0,53840,1
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,MD,farming-fishing,wife,MALE,YES,250/500,unknown,High Risk,1,55,1,66200,-49700,-11208.95,3.999401287,1,0.714210539,18,3340,398,1,8591,1305.26,2000,1,6680,1,0,36740,0,26720,3
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,High School,machine-op-inspct,not-in-family,FEMALE,NO,100/300,unknown,Low Risk,0,30,0,0,0,16601.05,3.499775367,1,0.169758107,12,15580,9,1,7603,1073.83,1000,0,15580,1,0,85690,0,54530,0
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,Associate,exec-managerial,not-in-family,FEMALE,NO,500/1000,YES,High Risk,1,31,0,0,0,-8038.95,6.998361040,1,0.732284161,18,0,115,3,3374,1051.67,1000,1,4270,1,0,34160,0,29890,3
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,JD,transport-moving,not-in-family,MALE,unknown,250/500,NO,Low Risk,0,48,2,0,-72000,2951.05,3.999608649,1,0.224384046,16,10220,280,1,203,1387.35,1000,1,10220,1,0,61320,0,40880,2
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,other-service,husband,MALE,unknown,250/500,YES,Low Risk,0,45,0,59800,0,15191.05,3.999698818,1,0.131420200,19,13280,254,3,4181,1083.64,500,0,13280,1,0,79680,0,53120,0
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,High School,craft-repair,other-relative,FEMALE,YES,250/500,NO,Low Risk,0,30,1,78800,0,10091.05,6.998979741,1,0.276799091,13,6860,141,1,5322,1851.78,1000,1,6860,1,0,61740,0,48020,0
unknown,unknown,N,Minor Damage,Parked Car,College,armed-forces,husband,MALE,NO,250/500,NO,Low Risk,0,55,0,24000,-50500,-32808.95,7.987519501,1,0.071111842,4,640,441,1,2031,1270.29,500,0,640,1,0,6400,4000000,5120,0
Fire,Rear Collision,N,Major Damage,Single Vehicle Collision,MD,other-service,wife,FEMALE,YES,500/1000,YES,Medium Risk,0,55,1,35900,0,4491.05,6.998845075,1,0.557970527,8,12120,381,1,8675,1459.99,500,1,6060,1,0,60600,0,42420,2
Ambulance,Side Collision,N,Major Damage,Multi-vehicle Collision,Masters,craft-repair,not-in-family,FEMALE,NO,100/300,NO,Medium Risk,0,38,2,0,0,3031.05,7.998437805,1,0.467022821,19,10240,191,3,3366,1253.44,2000,1,5120,1,0,56320,0,40960,0
Ambulance,Side Collision,N,Total Loss,Single Vehicle Collision,JD,priv-house-serv,other-relative,FEMALE,NO,100/300,YES,Low Risk,0,34,2,0,0,71.050000000,7.998316144,1,0.133853311,18,9500,145,1,9004,1142.48,1000,0,4750,1,0,52250,0,38000,0
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,MD,exec-managerial,other-relative,FEMALE,unknown,500/1000,unknown,Low Risk,0,60,0,0,-44800,-198.950000000,3.499675355,1,0.204312722,9,5390,479,2,4434,1188.45,1000,1,10780,1,0,53900,0,37730,3
unknown,unknown,N,Trivial Damage,Vehicle Theft,Masters,adm-clerical,husband,MALE,NO,500/1000,unknown,Low Risk,0,35,2,40000,-43400,-35948.95,4.489795918,1,0.041680458,6,220,215,1,3866,1125.4,1000,0,440,1,0,2640,0,1980,1
unknown,unknown,N,Minor Damage,Vehicle Theft,High School,transport-moving,husband,MALE,unknown,250/500,YES,Low Risk,0,33,0,0,0,-31718.95,4.496741492,1,0.028621484,8,1380,41,1,1611,1294.41,500,0,1380,1,0,8970,0,6210,0
unknown,unknown,N,Minor Damage,Parked Car,MD,priv-house-serv,not-in-family,MALE,unknown,100/300,unknown,Low Risk,0,31,1,0,0,-33928.95,3.996003996,1,0.043094290,6,1000,45,1,8921,1459.5,500,0,1000,1,0,6000,0,4000,3
Fire,Front Collision,Y,Major Damage,Multi-vehicle Collision,High School,armed-forces,own-child,MALE,unknown,100/300,unknown,Medium Risk,1,38,0,26500,0,711.050000000,6.998732114,1,0.531125730,23,11040,156,3,1980,1367.99,500,1,5520,1,0,55200,0,38640,3
unknown,unknown,N,Trivial Damage,Parked Car,Associate,exec-managerial,own-child,MALE,YES,250/500,NO,Low Risk,0,45,0,0,0,-32648.95,3.996971991,1,0.073908316,13,660,246,1,5638,1594.37,500,0,1320,1,0,7260,0,5280,3
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,JD,exec-managerial,own-child,FEMALE,unknown,100/300,NO,Low Risk,0,39,2,0,0,3231.05,3.499702406,1,0.100778296,3,11760,178,3,2141,1035.99,500,0,11760,1,0,64680,0,41160,0
Police,Rear Collision,N,Major Damage,Single Vehicle Collision,PhD,sales,husband,FEMALE,NO,250/500,NO,Medium Risk,0,43,0,53200,0,9431.05,3.999662191,1,0.485510005,23,0,237,1,2130,911.53,500,1,11840,1,0,59200,0,47360,1
unknown,unknown,N,Minor Damage,Vehicle Theft,Associate,craft-repair,own-child,FEMALE,unknown,500/1000,YES,Low Risk,0,34,1,73700,0,-34638.95,3.496280553,1,0.077582723,8,470,127,1,3079,1319.97,500,0,940,1,0,4700,0,3290,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,sales,husband,MALE,NO,250/500,YES,Low Risk,0,33,0,61200,0,17591.05,7.998847428,1,0.162818865,23,6940,1,1,7022,1391.63,2000,0,6940,1,0,69400,0,55520,3
Police,Side Collision,N,Total Loss,Single Vehicle Collision,High School,exec-managerial,own-child,FEMALE,NO,250/500,YES,Low Risk,0,21,0,0,0,-5528.95,7.998025179,1,0.137745118,23,4050,5,1,4473,915.41,500,0,4050,1,0,40500,5000000,32400,0
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,handlers-cleaners,other-relative,MALE,NO,500/1000,NO,Low Risk,0,28,2,56800,-51800,7071.05,4.499550045,1,0.180403134,9,5000,64,3,8497,1468.82,1000,0,10000,1,0,60000,0,45000,1
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,armed-forces,wife,MALE,NO,500/1000,YES,Low Risk,0,30,2,66400,-63700,6951.05,3.999643526,1,0.139459561,22,11220,142,1,6205,1412.76,500,0,11220,1,0,67320,0,44880,3
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,High School,tech-support,husband,FEMALE,YES,500/1000,YES,Low Risk,0,27,2,56700,-49300,20941.05,6.999167757,1,0.270409111,22,8410,97,3,4657,1588.26,500,1,8410,1,0,75690,0,58870,1
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,Associate,adm-clerical,other-relative,MALE,unknown,100/300,NO,High Risk,1,31,1,51300,0,13511.05,7.998756026,1,0.762294623,15,6430,121,3,8611,1140.91,1000,1,6430,1,0,64300,0,51440,2
Police,Rear Collision,N,Major Damage,Multi-vehicle Collision,JD,priv-house-serv,own-child,MALE,YES,100/300,NO,Low Risk,0,43,2,0,-20900,13591.05,7.998757957,1,0.385230206,16,6440,225,3,3801,1517.54,1000,1,6440,1,0,64400,0,51520,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,priv-house-serv,husband,FEMALE,unknown,250/500,unknown,Low Risk,0,53,1,42900,-39100,26791.05,3.999752796,1,0.178137260,17,16180,425,3,8987,912.29,2000,0,16180,1,0,97080,0,64720,2
Police,unknown,N,Minor Damage,Vehicle Theft,MD,priv-house-serv,not-in-family,MALE,unknown,250/500,YES,Low Risk,0,44,1,52600,0,-33428.95,8.982035928,1,0.162736060,3,500,285,1,8568,1144.3,2000,0,500,1,0,5500,0,4500,0
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,Masters,transport-moving,not-in-family,FEMALE,NO,500/1000,unknown,Low Risk,0,38,0,65100,-50300,-16438.95,3.499430060,1,0.087022497,10,3070,192,3,1435,1281.43,1000,0,6140,1,0,30700,0,21490,2
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,College,sales,wife,FEMALE,YES,100/300,NO,Low Risk,0,48,1,46100,0,-11888.95,6.998118785,1,0.087799447,9,3720,285,1,753,1101.85,2000,0,3720,1,0,33480,0,26040,2
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,JD,exec-managerial,other-relative,MALE,YES,500/1000,unknown,Low Risk,0,26,0,0,-30900,5691.05,5.999174804,1,0.277987296,13,14540,98,2,5098,1082.1,2000,1,7270,1,0,65430,0,43620,1
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,Masters,exec-managerial,not-in-family,MALE,YES,500/1000,YES,High Risk,1,36,2,44900,-52500,-6888.95,3.999484602,1,0.755623287,15,3880,175,3,8368,1185.44,500,1,7760,1,0,42680,0,31040,1
Fire,Side Collision,N,Minor Damage,Single Vehicle Collision,MD,craft-repair,not-in-family,MALE,NO,500/1000,unknown,Low Risk,0,45,1,30100,0,33891.05,8.998872322,1,0.248555932,23,7980,259,1,2935,1175.07,2000,1,7980,1,0,87780,0,71820,1
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,JD,transport-moving,own-child,FEMALE,YES,500/1000,YES,Medium Risk,0,36,0,0,-67000,5751.05,2.999793970,1,0.494315227,2,14560,140,4,5343,979.26,2000,1,14560,1,0,72800,0,43680,2
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,High School,sales,wife,FEMALE,unknown,250/500,YES,Medium Risk,1,37,2,0,0,25351.05,7.998988750,1,0.560809903,14,0,231,1,8464,920.81,500,1,7910,1,0,71190,0,63280,0
unknown,unknown,N,Trivial Damage,Vehicle Theft,High School,adm-clerical,husband,MALE,YES,100/300,unknown,Low Risk,0,38,1,70300,-70900,-35128.95,6.982543641,1,0.050105013,7,400,186,1,604,922.85,500,0,400,1,0,3600,0,2800,1
Other,Side Collision,N,Major Damage,Single Vehicle Collision,PhD,tech-support,not-in-family,MALE,NO,250/500,NO,Low Risk,0,41,1,65400,0,3831.05,3.999616895,1,0.368419000,23,10440,229,1,5882,1107.59,2000,1,10440,1,0,62640,3000000,41760,3
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,prof-specialty,wife,MALE,unknown,100/300,YES,Low Risk,0,36,2,0,0,12711.05,7.998736377,1,0.269792155,7,12660,180,3,47,1272.46,500,1,6330,1,0,69630,0,50640,1
Police,Rear Collision,Y,Minor Damage,Multi-vehicle Collision,High School,protective-serv,own-child,MALE,unknown,250/500,YES,Low Risk,1,33,1,0,-68800,17351.05,7.998842425,1,0.210527760,8,13820,188,3,7618,1340.24,1000,1,6910,1,0,76010,0,55280,0
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,transport-moving,not-in-family,MALE,YES,100/300,NO,Low Risk,0,40,1,57700,-43500,-5768.95,7.998010445,1,0.109286899,17,8040,214,1,5286,1648,1000,0,4020,1,0,44220,0,32160,0
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,other-service,wife,FEMALE,NO,250/500,NO,Low Risk,0,38,0,0,0,3671.05,3.999615422,1,0.212481630,10,5200,178,3,101,1381.14,500,1,10400,1,0,57200,0,41600,3
Police,unknown,N,Minor Damage,Vehicle Theft,MD,priv-house-serv,wife,MALE,NO,500/1000,NO,Low Risk,0,35,0,0,0,-35968.95,3.493761141,1,0.115918589,9,560,55,1,1440,1198.44,500,0,560,1,0,3080,8000000,1960,3
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,other-service,not-in-family,FEMALE,YES,250/500,YES,Low Risk,0,31,1,42100,0,17191.05,7.998839065,1,0.180297567,2,13780,90,1,8962,951.27,2000,0,6890,1,0,75790,0,55120,0
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,MD,farming-fishing,wife,FEMALE,NO,500/1000,NO,Low Risk,0,30,0,37100,-46500,-14168.95,7.997307304,1,0.154489490,18,5940,135,3,2189,1341.24,2000,0,2970,1,0,32670,0,23760,1
Police,unknown,N,Minor Damage,Vehicle Theft,Associate,adm-clerical,husband,FEMALE,NO,250/500,unknown,Low Risk,0,46,2,0,-65500,-35348.95,2.996515679,1,0.164872803,4,430,277,1,8113,1177.57,2000,0,860,1,0,3870,0,2580,3
Fire,Front Collision,Y,Total Loss,Single Vehicle Collision,Masters,transport-moving,own-child,FEMALE,YES,250/500,unknown,Medium Risk,1,38,0,0,0,28631.05,3.999759630,1,0.670784230,12,8320,211,1,6466,1055.09,1000,1,16640,1,0,91520,0,66560,3
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,Masters,prof-specialty,unmarried,MALE,YES,250/500,YES,Medium Risk,1,32,1,0,0,16391.05,3.999705471,1,0.544184301,15,6790,156,1,8334,1479.48,500,1,13580,1,0,74690,0,54320,3
Police,unknown,N,Trivial Damage,Vehicle Theft,Associate,priv-house-serv,other-relative,MALE,unknown,500/1000,YES,Low Risk,0,30,1,0,-15900,-34568.95,3.995243757,1,0.051741184,9,420,84,1,7122,1827.38,2000,0,840,1,0,4620,0,3360,3
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,JD,sales,not-in-family,FEMALE,NO,100/300,YES,Medium Risk,1,32,0,0,0,-2928.95,3.499650035,1,0.672271992,6,10000,136,1,5152,1169.62,500,1,10000,1,0,55000,0,35000,0
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,JD,adm-clerical,unmarried,FEMALE,NO,100/300,YES,High Risk,1,48,0,11000,0,1671.05,5.999091047,1,0.796214689,11,13200,310,4,5630,1516.34,500,1,6600,1,0,59400,0,39600,2
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,College,sales,husband,FEMALE,unknown,500/1000,NO,Low Risk,0,34,1,16100,-61200,11191.05,49120,1,0.195800911,13,6140,123,3,2874,1270.21,2000,0,0,1,0,55260,0,49120,1
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,craft-repair,other-relative,MALE,YES,250/500,unknown,Low Risk,0,44,2,33200,0,-1948.95,3.499659566,1,0.223767410,4,5140,243,3,6242,809.11,500,1,10280,1,0,51400,0,35980,1
Ambulance,Side Collision,N,Minor Damage,Multi-vehicle Collision,Masters,machine-op-inspct,husband,FEMALE,unknown,500/1000,YES,Low Risk,0,37,1,0,-59800,-5408.95,2.999723273,1,0.210163899,20,5420,36,3,463,1115.81,1000,1,10840,1,0,48780,0,32520,3
Ambulance,Rear Collision,N,Major Damage,Multi-vehicle Collision,College,armed-forces,own-child,FEMALE,unknown,100/300,NO,Medium Risk,0,31,1,0,0,2811.05,6.998797457,1,0.488469981,0,5820,146,3,8901,1457.65,1000,1,5820,1,0,52380,5000000,40740,3
Other,Side Collision,Y,Total Loss,Multi-vehicle Collision,JD,priv-house-serv,husband,FEMALE,YES,100/300,unknown,Medium Risk,1,34,2,53100,-43900,9391.05,3.499741143,1,0.651873132,18,13520,154,4,5592,1041.36,1000,1,13520,1,0,74360,0,47320,3
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,High School,protective-serv,other-relative,MALE,unknown,250/500,unknown,Low Risk,0,40,1,44000,-20800,4791.05,7.998502153,1,0.171178681,6,5340,204,1,8312,1693.83,1000,0,5340,1,0,53400,7000000,42720,0
Police,Front Collision,N,Total Loss,Single Vehicle Collision,High School,protective-serv,wife,FEMALE,YES,100/300,unknown,Low Risk,0,59,2,31400,0,5151.05,2.999791101,1,0.313030768,23,14360,458,1,2175,1685.69,1000,1,14360,1,0,71800,0,43080,2
Other,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,prof-specialty,own-child,FEMALE,unknown,250/500,unknown,Medium Risk,1,31,0,51900,0,21781.05,59710,1,0.441326629,4,8530,147,1,6549,1054.92,500,1,0,1,0,68240,6000000,59710,0
Other,Rear Collision,Y,Major Damage,Multi-vehicle Collision,MD,other-service,unmarried,FEMALE,unknown,250/500,unknown,High Risk,1,45,1,61100,-30700,921.050000000,3.499684713,1,0.708333816,21,11100,279,3,8385,1333.97,2000,1,11100,1,0,61050,6000000,38850,0
unknown,unknown,N,Minor Damage,Parked Car,Associate,craft-repair,own-child,FEMALE,YES,100/300,unknown,Low Risk,0,47,1,45700,-41400,-34058.95,4.494773519,1,0.149490484,7,860,308,1,474,1013.61,1000,0,860,1,0,5590,6000000,3870,1
Fire,Side Collision,N,Major Damage,Multi-vehicle Collision,PhD,machine-op-inspct,husband,FEMALE,unknown,500/1000,unknown,Low Risk,0,48,0,47900,0,-8108.95,3.499589250,1,0.307520411,19,8520,284,3,2442,958.3,500,1,8520,1,0,46860,0,29820,0
unknown,unknown,N,Minor Damage,Parked Car,PhD,other-service,own-child,FEMALE,NO,250/500,NO,Low Risk,0,31,1,52800,-54300,-35198.95,3.495518566,1,0.085286219,5,780,108,1,4757,1112.04,2000,0,780,1,0,4290,6000000,2730,3
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,Associate,armed-forces,own-child,FEMALE,NO,250/500,YES,Low Risk,0,57,0,69900,0,17021.05,6.999108394,1,0.102028878,22,15700,421,3,4687,1206.26,2000,0,7850,1,0,78500,0,54950,0
Police,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,prof-specialty,own-child,MALE,YES,500/1000,YES,Low Risk,0,42,1,12800,-49700,17161.05,6.999110659,1,0.345407309,12,7870,266,1,6047,763.67,1000,1,7870,1,0,70830,0,55090,3
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,handlers-cleaners,own-child,MALE,NO,250/500,NO,Low Risk,0,56,0,0,-66100,7431.05,5.999206454,1,0.259519294,19,15120,412,3,4541,1042.56,500,1,7560,1,0,68040,0,45360,2
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,JD,other-service,wife,FEMALE,unknown,100/300,unknown,High Risk,1,32,2,46800,-87300,9771.05,4.499575512,1,0.781198529,10,5300,31,1,5632,1263.48,2000,1,10600,1,0,63600,4000000,47700,0
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,Masters,sales,own-child,FEMALE,unknown,250/500,NO,Low Risk,0,63,0,0,0,-4048.95,6.998554018,1,0.148186741,7,4840,465,1,1120,1006.99,500,0,4840,1,0,43560,6000000,33880,3
Police,Front Collision,N,Total Loss,Single Vehicle Collision,Masters,sales,not-in-family,MALE,NO,250/500,NO,Low Risk,0,31,1,42300,-45800,2631.05,5.999112557,1,0.304115719,17,13520,126,1,6711,1328.26,1000,1,6760,1,0,60840,0,40560,1
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,tech-support,wife,FEMALE,YES,100/300,unknown,Low Risk,0,55,2,0,-57700,7511.05,3.999647918,1,0.234919962,0,11360,407,3,6908,1250.08,1000,1,11360,1,0,68160,5000000,45440,3
unknown,unknown,N,Minor Damage,Parked Car,College,transport-moving,unmarried,FEMALE,NO,500/1000,NO,Low Risk,0,27,1,30800,-43700,-34168.95,7.983014862,1,0.058820816,9,940,101,1,6260,982.7,500,0,470,1,0,5170,6000000,3760,0
Ambulance,Side Collision,N,Total Loss,Single Vehicle Collision,Masters,protective-serv,not-in-family,FEMALE,unknown,500/1000,unknown,Low Risk,0,37,0,60100,0,8231.05,7.998613758,1,0.223259512,21,5770,187,1,526,1412.06,1000,1,5770,1,0,57700,5000000,46160,3
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,JD,handlers-cleaners,own-child,FEMALE,NO,500/1000,NO,Low Risk,0,46,0,0,0,21751.05,3.999731921,1,0.214361448,22,14920,252,3,6635,1066.7,2000,1,14920,1,0,89520,0,59680,2
unknown,unknown,N,Minor Damage,Vehicle Theft,High School,protective-serv,not-in-family,MALE,YES,250/500,NO,Low Risk,0,43,1,42600,-44400,-34568.95,3.995243757,1,0.030183395,3,420,229,1,6462,1585.54,2000,0,840,1,0,4620,0,3360,0
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,JD,craft-repair,other-relative,FEMALE,unknown,250/500,YES,Low Risk,0,39,0,0,-36600,-2788.95,6.998605855,1,0.186094291,16,5020,246,1,2840,1416.08,1000,0,5020,1,0,45180,0,35140,3
Other,Side Collision,N,Total Loss,Single Vehicle Collision,JD,craft-repair,unmarried,MALE,NO,250/500,YES,Low Risk,0,38,0,61900,-50000,-6358.95,6.998448238,1,0.111608036,14,9020,190,1,2688,1246.03,500,0,4510,1,0,45100,0,31570,0
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Masters,machine-op-inspct,not-in-family,MALE,YES,500/1000,YES,Low Risk,0,32,0,67800,-48600,14991.05,3.499768534,1,0.149793138,21,15120,95,3,6638,1356.64,2000,0,15120,1,0,83160,0,52920,3
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,High School,priv-house-serv,other-relative,FEMALE,NO,100/300,NO,Low Risk,0,42,2,0,0,16881.05,3.499776515,1,0.157248705,19,15660,205,1,2541,1387.7,2000,0,15660,1,0,86130,4000000,54810,1
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,Masters,priv-house-serv,wife,MALE,NO,100/300,NO,Low Risk,0,25,1,35400,0,-4328.95,6.998541970,1,0.312101667,13,9600,41,3,4232,1004.14,1000,1,4800,1,0,48000,0,33600,3
Police,unknown,N,Minor Damage,Vehicle Theft,High School,protective-serv,husband,FEMALE,YES,500/1000,NO,Low Risk,0,35,0,0,-45300,-35828.95,3.494176373,1,0.027123831,21,600,137,1,8676,1107.07,500,0,600,1,0,3300,0,2100,0
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,protective-serv,husband,FEMALE,YES,100/300,NO,Low Risk,0,34,1,67800,0,2111.05,6.998776438,1,0.181453883,11,11440,194,3,8611,1429.96,500,0,5720,1,0,57200,0,40040,2
Police,unknown,N,Trivial Damage,Vehicle Theft,Associate,adm-clerical,husband,FEMALE,unknown,250/500,unknown,Low Risk,0,35,2,0,-48800,-32408.95,7.988422576,1,0.034199816,16,1380,128,1,5022,1074.99,1000,0,690,1,0,7590,0,5520,0
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,transport-moving,unmarried,FEMALE,unknown,500/1000,NO,Low Risk,0,37,0,30400,-89400,17511.05,4.499634770,1,0.212750750,9,12320,150,1,317,1007,1000,1,12320,1,0,80080,0,55440,2
Police,unknown,N,Minor Damage,Vehicle Theft,MD,protective-serv,other-relative,FEMALE,YES,100/300,NO,Low Risk,0,30,0,0,-70100,-34568.95,6.985446985,1,0.062538178,8,960,104,1,1651,1052.85,500,0,480,1,0,4800,0,3360,0
Police,unknown,Y,Minor Damage,Vehicle Theft,High School,craft-repair,own-child,FEMALE,YES,500/1000,unknown,Medium Risk,1,37,2,0,-36400,-35198.95,3.495518566,1,0.639606974,7,390,163,1,1899,1200.33,1000,1,780,1,0,3900,4000000,2730,1
Other,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,handlers-cleaners,other-relative,MALE,NO,100/300,unknown,Low Risk,0,26,0,64600,0,34391.05,7.999115142,1,0.138459562,12,9040,80,1,4988,1343,1000,0,9040,1,0,90400,0,72320,0
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,MD,sales,own-child,FEMALE,unknown,250/500,YES,Low Risk,0,29,0,0,0,6101.05,3.499721803,1,0.185764793,21,6290,65,3,3864,1441.6,2000,0,12580,1,0,62900,5000000,44030,0
Police,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,protective-serv,own-child,FEMALE,NO,100/300,YES,High Risk,1,32,1,53800,0,11.050000000,3.499677152,1,0.782434359,4,5420,179,1,7473,1433.42,1000,1,10840,1,0,54200,6000000,37940,2
Police,Side Collision,N,Major Damage,Multi-vehicle Collision,MD,tech-support,other-relative,FEMALE,YES,500/1000,NO,Medium Risk,0,50,2,0,0,-1668.95,3.499662195,1,0.407641269,18,5180,372,3,3782,1368.57,2000,1,10360,1,0,51800,0,36260,2
Police,unknown,N,Trivial Damage,Vehicle Theft,High School,adm-clerical,unmarried,MALE,unknown,250/500,unknown,Low Risk,0,55,2,69400,0,-33128.95,3.996669442,1,0.113447334,7,600,398,1,9040,862.19,500,0,1200,1,0,6600,0,4800,3
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,MD,tech-support,husband,MALE,YES,250/500,YES,Low Risk,0,35,2,58500,-77700,15991.05,7.998813232,1,0.179196541,13,13480,213,1,8890,871.46,500,0,6740,1,0,74140,0,53920,0
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,Associate,priv-house-serv,not-in-family,FEMALE,unknown,500/1000,NO,Low Risk,0,25,2,53400,-35200,9531.05,6.998967704,1,0.242115632,0,13560,79,1,5213,1863.04,500,1,6780,1,0,67800,0,47460,1
